function,a,b,n,method,impl,threads,block_size,repeats,result,avg_time,stddev
x^2,0,1,1000000,riemann,serial,1,256,5,2,0.174667,0.00303992
x^2,0,1,5000000,riemann,serial,1,256,5,2,0.869382,0.00597267
x^2,0,1,10000000,riemann,serial,1,256,5,2,1.2522,1.11209
x^2,0,1,1000000,riemann,omp,1,256,5,2,0.180281,0.00745393
x^2,0,1,1000000,riemann,omp,2,256,5,2,0.0902568,0.00176827
x^2,0,1,1000000,riemann,omp,4,256,5,2,0.0733664,0.0241835
x^2,0,1,1000000,riemann,omp,8,256,5,2,0.0463519,0.00474108
x^2,0,1,5000000,riemann,omp,1,256,5,2,0.865057,0.00457291
x^2,0,1,5000000,riemann,omp,2,256,5,2,0.593355,0.0983671
x^2,0,1,5000000,riemann,omp,4,256,5,2,0.270825,0.0255321
x^2,0,1,5000000,riemann,omp,8,256,5,2,0.200363,0.0136527
x^2,0,1,10000000,riemann,omp,1,256,5,2,1.75956,0.016291
x^2,0,1,10000000,riemann,omp,2,256,5,2,0.939397,0.0877227
x^2,0,1,10000000,riemann,omp,4,256,5,2,0.128556,1.11744
x^2,0,1,10000000,riemann,omp,8,256,5,2,0.389179,0.0311406
x^2,0,1,1000000,riemann,cuda,1,128,5,2,0.0525743,0.115523
x^2,0,1,1000000,riemann,cuda,1,256,5,2,0.0327228,0.0710628
x^2,0,1,1000000,riemann,cuda,1,512,5,2,0.030669,0.0664928
x^2,0,1,5000000,riemann,cuda,1,128,5,2,0.0305586,0.0627757
x^2,0,1,5000000,riemann,cuda,1,256,5,2,0.041235,0.0874623
x^2,0,1,5000000,riemann,cuda,1,512,5,2,0.0324798,0.0675668
x^2,0,1,10000000,riemann,cuda,1,128,5,2,0.0331009,0.0660122
x^2,0,1,10000000,riemann,cuda,1,256,5,2,0.0336906,0.0667825
x^2,0,1,10000000,riemann,cuda,1,512,5,2,0.0341492,0.0677292
